label,longitude,latitude,TypeCode,Priority,APC_Diameter,APC_Depth,APC_Diameter_numeric,elevation,APC_Depth_numeric,morphology_score,themis_tile,themis_quantitative_product_name,Comment
CC0281,259.4139,3.17889,sky,1,,,,4509.503227245932,,4.6,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Deep hole in channel
CC0288,231.8906,-0.93933,sky,1,,,,2749.512975703512,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Lateral tube skylight
CC0292,235.5515,0.7771,sky,1,,,,3921.1734401808953,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,Solid looking lava tube skylight
CC0299,236.1482,-1.46228,sky,1,,,,4203.025792670121,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0300,236.2094,-1.47205,sky,1,,,,4223.7916780913465,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0301,236.1982,-1.47437,sky,1,,,,4220.43828103926,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0302,236.2322,-1.47644,sky,1,,,,4233.6097915483415,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0303,236.245,-1.46997,sky,1,,,,4237.529370143804,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Skylight
CC0323,236.7699,-0.46796,sky,1,,,,4318.323512301442,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0324,236.741,-0.4765,sky,1,,,,4312.961520276891,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0331,237.3424,-2.60449,sky,1,,,,4951.6872265698585,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0344,235.9563,-1.45911,sky,1,,,,4138.314176043674,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0345,235.9785,-1.46143,sky,1,,,,4146.314552203746,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0346,236.0981,1.3894,sky,1,,,,4272.04267317481,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,skylight
CC0349,236.5813,-0.4447,sky,1,,,,4296.904883486912,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0353,236.5744,-1.49963,sky,1,,,,4365.557700917484,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0358,236.9183,-2.82141,sky,1,,,,4769.593676441859,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0362,236.6997,-0.74756,sky,1,,,,4308.22017385591,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,inflated flow skylight
CC0368,234.6502,0.34631,sky,1,,,,3554.439232236821,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,Small rimless pit
CC0387,234.6398,0.97668,sky,1,,,,3488.710786634146,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,skylight
CC0389,234.7289,0.49,sky,1,,,,3607.615823031552,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,skylight
CC0390,234.7329,0.49048,sky,1,,,,3608.748927907396,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,skylight
CC0394,234.8965,-0.30908,sky,1,,,,3740.3144684624376,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0403,235.1892,-3.13107,sky,1,,,,4227.177953051297,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0407,235.4607,-3.27222,sky,1,,,,4382.545413507402,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0409,235.3469,-3.20654,sky,1,,,,4329.017474935015,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0414,234.2354,0.53979,sky,1,,,,3379.619281718652,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,skylight
CC0415,234.239,0.54199,sky,1,,,,3381.8172171236943,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,skylight
CC0420,234.4329,-0.24756,sky,1,,,,3577.8056431674668,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0430,234.2665,-0.12085,sky,1,,,,3506.193585574687,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0432,234.2064,-0.10571,sky,1,,,,3476.835893965871,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0433,234.2047,-0.10559,sky,1,,,,3476.3389653281256,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0434,234.202,-0.10547,sky,1,,,,3475.516225929465,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0435,234.2015,-0.09424,sky,1,,,,3474.01374530076,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0436,234.1965,-0.08777,sky,1,,,,3470.616921312751,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0439,234.1831,-0.03943,sky,1,,,,3441.378948978293,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0457,234.4155,-0.65698,sky,1,,,,3552.675906251575,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0461,234.3179,-1.01831,sky,1,,,,3556.3124786105136,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0462,234.3457,0.06494,sky,1,,,,3469.7348202142325,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,skylight
CC0463,234.3471,0.06494,sky,1,,,,3470.2342366918406,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,skylight
CC0464,237.8108,-2.43874,sky,1,,,,5107.816303160974,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight
CC0465,238.2277,-2.20355,sky,1,,,,5259.0211070116,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight with no visible tube
CC0466,238.222,-2.20309,sky,1,,,,5254.245631875751,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,skylight with no visible tube
CC0476,242.3015,-17.15987,sky,1,,,,6348.595847296966,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,skylight
CC0744,234.4674,0.44656,sky,1,,,,3498.8483076275947,,4.6,00N180E,THEMIS Thermal Inertia Mosaic Quantitative 00N180E 100mpp,Channel skylight
CC0753,234.7696,-2.49557,sky,1,,,,3993.315991443646,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,"channel tube intersection, bridge?"
CC0754,234.7678,-2.49548,sky,1,,,,3992.6220976009154,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,"channel tube intersection, bridge?"
CC0793,235.9332,-2.82233,sky,1,,,,4433.8572465877005,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0794,236.1744,-3.21838,sky,1,,,,4598.005876125818,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0795,236.1613,-3.2041,sky,1,,,,4592.099063999354,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0796,236.1519,-3.1969,sky,1,,,,4589.008662474458,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0797,236.1465,-3.18884,sky,1,,,,4586.0846088042135,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0798,236.1458,-3.18738,sky,1,,,,4585.507188096894,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0799,236.1454,-3.18506,sky,1,,,,4584.751179265574,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0800,236.1448,-3.18359,sky,1,,,,4584.073096991634,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0801,236.1339,-3.16638,sky,1,,,,4573.089576644511,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0802,236.1231,-3.15637,sky,1,,,,4564.819870269137,,4.6,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,tube skylight
CC0929,242.9741,-0.26598,sky,1,,,,6403.049278614051,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"pair of 60-m pits in flow, 1km apart"
CC0930,242.9604,-0.27606,sky,1,,,,6412.27493938701,,4.6,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"pair of 60-m pits in flow, 1km apart"
APC016,243.0341,-4.20642,APC,0,55,35.0,55.0,8027.260542565733,35.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC - deep - 60m >.65 d/D
APC045,237.8282,-2.04173,APC,0,95,67.0,95.0,4971.375411079701,67.0,4.4,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Probably Type I
APC061,240.9015,-7.17221,APC,0,119,55.0,119.0,12331.8017115082,55.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC nochain
APC073,245.89,-16.33,APC,0,150,50.0,150.0,6285.005343999995,50.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC
APC074,239.22,-13.94,APC,0,180,46.0,180.0,9509.23257600005,46.0,4.4,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC
APC075,241.3931,-5.5332,APC,0,165,345.0,165.0,9963.4134845422,345.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC ~ Jeanne
APC079,240.04,-14.28,APC,0,175,84.0,175.0,8713.321023999968,84.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC in chain b=164
APC085,247.5515,17.28099,APC,0,200,59.0,200.0,2152.857214178768,59.0,4.4,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Fanpit B
APC094,259.3536,24.76974,APC,0,350,128.0,350.0,2195.8327341688705,128.0,4.4,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Tractus3
APC095,259.3452,26.16333,APC,0,375,183.0,375.0,2076.0663633813338,183.0,4.4,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Tractus1
APC098,245.85,-16.25,APC,0,150,50.0,150.0,6294.999999999997,50.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC
APC099,242.5299,-17.46004,APC,0,215,151.0,215.0,6246.219900192177,151.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC
APC104,238.6571,-6.36218,APC,0,130,57.0,130.0,10432.235361462155,57.0,4.4,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC
APC121,259.3264,25.23291,APC,0,425,185.0,425.0,2182.7129640973462,185.0,4.4,00N240E,THEMIS Thermal Inertia Mosaic Quantitative 00N240E 100mpp,Tractus2
APC129,231.8792,-2.09052,APC,0,230,105.0,230.0,2869.4638454255155,105.0,4.4,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,Outstandingly perfect Type II APC
APC131,239.25,-13.52,APC,0,170,31.0,170.0,9933.18000000007,31.0,4.4,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC
APC132,242.42,-4.28,APC,0,130,20.0,130.0,8280.270623999946,20.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC - Shallow or filled-in? Possible rim overhang
APC140,252.2473,-4.35956,APC,0,135x195,91.0,,6564.679098917387,91.0,4.4,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,Notcis Labyrinth APC - deep; overhang
APC141,225.4586,-24.78119,APC,0,110,35.0,110.0,2166.3671476752006,35.0,4.4,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,SW Daedalia APC
APC001,240.4585,-0.94678,APC,1,25,32.0,25.0,5845.516289233242,32.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC -- tiny ~25m
APC003,237.696,-12.47266,APC,1,30,47.0,30.0,10500.439388911564,47.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC 40m small deep nochain--big smrp?
APC005,240.8867,-5.68445,APC,1,30,17.0,30.0,10144.570833539166,17.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC deep pair
APC006,240.9421,-1.61377,APC,1,40,38.0,40.0,6446.1238035272045,38.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC small deep?
APC007,241.2993,-1.68555,APC,1,40,28.0,40.0,6610.563531326868,28.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"APC, deep? ~40m"
APC008,241.7492,-6.64679,APC,1,40,50.0,40.0,11017.000076035192,50.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC deep
APC009,244.2588,-1.28809,APC,1,40,45.0,40.0,7473.616109916817,45.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC ~ small deep
APC010,241.3897,-2.71338,APC,1,45,30.0,45.0,7119.52897428515,30.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"APC, deep ~45m"
APC011,243.2452,-4.50244,APC,1,45,34.0,45.0,8169.741556585549,34.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC irregular 119x45
APC012,244.2749,-1.08203,APC,1,45,48.0,45.0,7445.583566224261,48.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"APC ~ small deep, faint graben?"
APC013,244.2788,-1.12158,APC,1,45,50.0,45.0,7456.469775340143,50.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"APC ~ small deep, faint graben?"
APC014,236.3418,-13.89099,APC,1,50,75.0,50.0,8453.541676423309,75.0,4.0,30S180E,THEMIS Thermal Inertia Mosaic Quantitative 30S180E 100mpp,APC nochain deep
APC015,243.7466,-6.17554,APC,1,75,66.0,75.0,8301.647090930612,66.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,"APC - deep, ~ 75x55m"
APC017,243.372,-5.88489,APC,1,55,33.0,55.0,8819.19053829606,33.0,4.0,30S240E,THEMIS Thermal Inertia Mosaic Quantitative 30S240E 100mpp,APC deep
